Servicio,Clase,Provincia,Total
PARTICULAR,Camión,SUCUMBÍOS,207
MUNNICIPIO,Volqueta,PASTAZA,13
ALQUILER,Tanquero,NAPO,3
ALQUILER,Volqueta,MORONA SANTIAGO,14
ESTADO,Volqueta,NAPO,23
ESTADO,Volqueta,ESMERALDAS,5
MUNNICIPIO,Volqueta,SANTA ELENA,2
ESTADO,Volqueta,CHIMBORAZO,15
MUNNICIPIO,Volqueta,LOJA,16
PARTICULAR,Volqueta,AZUAY,532
ALQUILER,Volqueta,CARCHI,38
MUNNICIPIO,Trailer,ORELLANA,1
OTROS,Volqueta,IMBABURA,1
MUNNICIPIO,Trailer,MORONA SANTIAGO,1
ALQUILER,Camión,LOJA,148
PARTICULAR,Volqueta,NAPO,22
PARTICULAR,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,402
MUNNICIPIO,Camión,ZAMORA CHINCHIPE,7
MUNNICIPIO,Camión,SANTA ELENA,1
PARTICULAR,Tanquero,MORONA SANTIAGO,2
ESTADO,Volqueta,BOLÍVAR,17
ESTADO,Trailer,GUAYAS,4
MUNNICIPIO,Tanquero,IMBABURA,2
MUNNICIPIO,Tanquero,CHIMBORAZO,3
PARTICULAR,Tanquero,CAÑAR,14
SECTORES SECCIONALES,Volqueta,LOJA,4
PARTICULAR,Trailer,BOLÍVAR,20
ALQUILER,Volqueta,GUAYAS,1
ALQUILER,Camión,GUAYAS,409
MUNNICIPIO,Tanquero,ESMERALDAS,1
ESTADO,Trailer,IMBABURA,1
PARTICULAR,Volqueta,CHIMBORAZO,146
PARTICULAR,Trailer,LOS RÍOS,198
PARTICULAR,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,85
ESTADO,Camión,GUAYAS,51
ALQUILER,Camión,SUCUMBÍOS,42
ESTADO,Tanquero,GUAYAS,8
PARTICULAR,Volqueta,SANTA ELENA,24
MUNNICIPIO,Trailer,PASTAZA,2
ESTADO,Tanquero,COTOPAXI,2
ESTADO,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,7
OTROS,Camión,PICHINCHA,1
ALQUILER,Tanquero,CHIMBORAZO,11
ESTADO,Camión,PICHINCHA,33
OTROS,Trailer,CAÑAR,4
PARTICULAR,Tanquero,MANABÍ,322
MUNNICIPIO,Volqueta,PICHINCHA,38
ALQUILER,Camión,AZUAY,424
ALQUILER,Volqueta,IMBABURA,115
ALQUILER,Camión,BOLÍVAR,103
MUNNICIPIO,Tanquero,PICHINCHA,8
ALQUILER,Trailer,BOLÍVAR,3
ESTADO,Trailer,CARCHI,1
ESTADO,Camión,EL ORO,3
ESTADO,Camión,SUCUMBÍOS,4
ALQUILER,Tanquero,AZUAY,21
ALQUILER,Trailer,CAÑAR,20
ESTADO,Tanquero,ORELLANA,4
PARTICULAR,Camión,ORELLANA,345
PARTICULAR,Trailer,COTOPAXI,168
PARTICULAR,Volqueta,CAÑAR,143
ESTADO,Trailer,CHIMBORAZO,1
PARTICULAR,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,2564
ESTADO,Volqueta,CARCHI,15
ALQUILER,Camión,TUNGURAHUA,542
ALQUILER,Camión,CARCHI,239
ALQUILER,Trailer,CARCHI,139
PARTICULAR,Camión,LOJA,1182
PARTICULAR,Tanquero,TUNGURAHUA,61
MUNNICIPIO,Volqueta,TUNGURAHUA,27
ALQUILER,Volqueta,MANABÍ,81
PARTICULAR,Tanquero,ZAMORA CHINCHIPE,1
ESTADO,Volqueta,MANABÍ,18
OTROS,Tanquero,GUAYAS,1
ESTADO,Trailer,PASTAZA,1
PARTICULAR,Trailer,ESMERALDAS,31
OTROS,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,1
OTROS,Camión,ESMERALDAS,2
PARTICULAR,Volqueta,CARCHI,68
ESTADO,Camión,GALÁPAGOS,4
PARTICULAR,Volqueta,SUCUMBÍOS,40
ESTADO,Camión,ESMERALDAS,3
ALQUILER,Camión,ESMERALDAS,82
MUNNICIPIO,Trailer,LOJA,3
MUNNICIPIO,Volqueta,AZUAY,37
ALQUILER,Volqueta,SUCUMBÍOS,23
ALQUILER,Trailer,AZUAY,104
MUNNICIPIO,Tanquero,NAPO,3
PARTICULAR,Trailer,SANTA ELENA,24
ESTADO,Tanquero,GALÁPAGOS,2
OTROS,Camión,AZUAY,6
ALQUILER,Camión,NAPO,28
ALQUILER,Volqueta,LOS RÍOS,27
PARTICULAR,Trailer,SUCUMBÍOS,25
PARTICULAR,Camión,EL ORO,2077
ALQUILER,Camión,ORELLANA,73
MUNNICIPIO,Volqueta,ORELLANA,12
OTROS,Volqueta,GUAYAS,1
PARTICULAR,Trailer,NAPO,1
MUNNICIPIO,Camión,GUAYAS,25
MUNNICIPIO,Camión,NAPO,7
MUNNICIPIO,Tanquero,CAÑAR,3
ALQUILER,Tanquero,IMBABURA,10
ESTADO,Tanquero,PICHINCHA,3
PARTICULAR,Trailer,TUNGURAHUA,68
OTROS,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,3
PARTICULAR,Camión,CAÑAR,1190
PARTICULAR,Volqueta,ZAMORA CHINCHIPE,32
PARTICULAR,Tanquero,LOJA,19
SECTORES SECCIONALES,Camión,PICHINCHA,2
ALQUILER,Camión,COTOPAXI,334
PARTICULAR,Trailer,ORELLANA,28
PARTICULAR,Camión,CHIMBORAZO,1401
ALQUILER,Camión,EL ORO,310
PARTICULAR,Volqueta,LOS RÍOS,509
ESTADO,Tanquero,LOJA,9
ALQUILER,Volqueta,TUNGURAHUA,94
PARTICULAR,Trailer,MORONA SANTIAGO,3
ALQUILER,Volqueta,BOLÍVAR,17
ESTADO,Tanquero,BOLÍVAR,3
ALQUILER,Trailer,COTOPAXI,129
PARTICULAR,Camión,COTOPAXI,1961
MUNNICIPIO,Volqueta,NAPO,19
MUNNICIPIO,Tanquero,TUNGURAHUA,3
ALQUILER,Tanquero,BOLÍVAR,3
ALQUILER,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,54
MUNNICIPIO,Volqueta,ZAMORA CHINCHIPE,18
ALQUILER,Trailer,PASTAZA,1
ESTADO,Tanquero,CHIMBORAZO,5
PARTICULAR,Trailer,CAÑAR,59
PARTICULAR,Camión,CARCHI,780
MUNNICIPIO,Trailer,ZAMORA CHINCHIPE,1
PARTICULAR,Trailer,LOJA,47
PARTICULAR,Tanquero,IMBABURA,15
ESTADO,Volqueta,IMBABURA,11
PARTICULAR,Volqueta,LOJA,258
MUNNICIPIO,Volqueta,MORONA SANTIAGO,6
ALQUILER,Camión,LOS RÍOS,295
PARTICULAR,Trailer,GUAYAS,1154
MUNNICIPIO,Tanquero,MANABÍ,2
PARTICULAR,Trailer,EL ORO,144
ALQUILER,Camión,PASTAZA,33
ESTADO,Trailer,LOS RÍOS,2
MUNNICIPIO,Camión,AZUAY,18
ESTADO,Volqueta,ORELLANA,8
PARTICULAR,Tanquero,ESMERALDAS,24
MUNNICIPIO,Trailer,PICHINCHA,1
PARTICULAR,Volqueta,GUAYAS,64
ALQUILER,Tanquero,SUCUMBÍOS,9
ALQUILER,Trailer,LOJA,26
ESTADO,Camión,CARCHI,6
OTROS,Tanquero,CAÑAR,1
